,Name,place_id,Address,Coordinates,business_status,types,category
66,E Kawili Street,ChIJUY8cpG5LUnkRgLFTN1ONgv4,United States,"{'lat': 19.705778, 'lng': -155.065056}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
67,Automotive Supply Center,ChIJKf5mpG5LUnkRNqwEPLeIuMM,United States,"{'lat': 19.7059043, 'lng': -155.0650807}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
68,KS Bus Stop,ChIJ5cw-vRJLUnkRpaFvwT20nAA,"9 Ohuohu Street, Hilo","{'lat': 19.6979901, 'lng': -155.0609906}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
69,Ohu Ohu Street @ Prince Kuhio Plaza (Macy's Men's Children & Home),ChIJ00qJlBJLUnkRrT1uzwLfNT8,United States,"{'lat': 19.6976782, 'lng': -155.0615}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
70,Parking lot,ChIJEfM4rry0U3kRoZnNz-uiIRA,Hilo,"{'lat': 19.7177441, 'lng': -155.1140443}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
71,Parking lot,ChIJkwxBzKS0U3kRk4TAGQ_gLIw,Hilo,"{'lat': 19.7180542, 'lng': -155.1114481}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
72,Parking lot,ChIJ_wDN16S0U3kRgeYqLonkVao,Hilo,"{'lat': 19.7182411, 'lng': -155.11066}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
73,Kaumana Drive @ across Chong Street,ChIJ96UAn-e0U3kRb3IkiLrVcDI,United States,"{'lat': 19.694417, 'lng': -155.120833}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
74,Kaumana Drive Chong St,ChIJ75Nmpue0U3kRyGHT-n-kf2w,United States,"{'lat': 19.69463, 'lng': -155.1215852}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
75,Kaumana Drive @ Hilo Door of Faith Church/Malama Place,ChIJ3SudksO0U3kRsveEbuT_ej4,United States,"{'lat': 19.700083, 'lng': -155.114333}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
