,Name,place_id,Address,Coordinates,business_status,types,category
62,Pier 21 Lot 5,ChIJp1QbWGueP4YRCiyujXrIFtw,"2300 Harborside Drive, Galveston","{'lat': 29.3081405, 'lng': -94.7950123}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
63,Parking lot,ChIJccZCp2ueP4YRs8AObq7PblI,Galveston,"{'lat': 29.3058727, 'lng': -94.79327239999999}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
64,Parking lot,ChIJdwXcpmqeP4YRnLsczrsJwTc,Galveston,"{'lat': 29.30811479999999, 'lng': -94.7900755}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
65,Parking lot,ChIJlSHNH0CeP4YRzQwmoUOE3UA,Galveston,"{'lat': 29.3077847, 'lng': -94.7898124}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
66,Parking lot,ChIJQd6Eo2qeP4YRjhW6xNqvz40,Galveston,"{'lat': 29.3079922, 'lng': -94.79033849999999}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
67,Parking lot,ChIJT9ZTvGqeP4YR9br2Zlz8eMk,Galveston,"{'lat': 29.3078229, 'lng': -94.79064199999999}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
68,Parking lot,ChIJ4Y6USRWeP4YRKeJw6uOqBOA,Galveston,"{'lat': 29.309482, 'lng': -94.7910871}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
69,Parking lot,ChIJBcBXyWqeP4YRzOLE9jQ-tjM,Galveston,"{'lat': 29.308565, 'lng': -94.7914109}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
70,Parking lot,ChIJE1b9LBWeP4YRs4bbHHABTlo,Galveston,"{'lat': 29.3090909, 'lng': -94.7918965}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
71,Parking lot,ChIJTx3PjGqeP4YRMAiQI8LcmMM,Galveston,"{'lat': 29.30668309999999, 'lng': -94.7910094}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
