,Name,place_id,Address,Coordinates,business_status,types,category
125,"The San Luis Resort, Spa and Conference Center parking",ChIJ2T54gzedP4YRsyYWwXF8uMs,"3104 53rd Street, Galveston","{'lat': 29.2734016, 'lng': -94.8188721}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
126,5400 Seawall Boulevard Parking,ChIJYSOtGiWcP4YRjz4FB3sUb5c,"5400 Seawall Boulevard, Galveston","{'lat': 29.27130469999999, 'lng': -94.8186599}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
127,Burnet Elementary Parking Lot,ChIJSz46OAKdP4YRLBH3k4oTzEo,"5511 Avenue S, Galveston","{'lat': 29.27637, 'lng': -94.824815}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
128,2190 Terminal Dr Parking,ChIJFfXvb_acP4YRVrIRw8E7saQ,"2190 Terminal Drive, Galveston","{'lat': 29.2669691, 'lng': -94.8539629}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
129,Parking,ChIJbfgbcPacP4YRgVyvxgMmUmI,"2215-2299 83rd St, Galveston","{'lat': 29.26690110000001, 'lng': -94.85394959999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
130,Parking lot,ChIJsbwaAPicP4YR-xR-gJ3Khqg,Galveston,"{'lat': 29.2722388, 'lng': -94.8522256}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
131,Parking lot,ChIJAQ3E3lecP4YRFPumfq04aNw,Galveston,"{'lat': 29.2736877, 'lng': -94.8522256}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
132,Parking lot,ChIJ144JpvmcP4YRRiYYJ89NTUI,Galveston,"{'lat': 29.27446999999999, 'lng': -94.8556287}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
133,Galveston Island Brewing Parking Lot,ChIJVet7g4ydP4YRA18lniSyRWg,"3515 85th Street, Galveston","{'lat': 29.2557574, 'lng': -94.85009640000001}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
134,Parking lot,ChIJr9S4pImcP4YRJmKWnPce72g,Galveston,"{'lat': 29.2526183, 'lng': -94.8538461}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
135,Parking lot,ChIJuXTrNIicP4YRjhC2oopooG4,Galveston,"{'lat': 29.2514831, 'lng': -94.85314009999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
136,Parking lot,ChIJS1RBIF6cP4YRxy7ZCPwHof4,Galveston,"{'lat': 29.2607, 'lng': -94.8482556}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
137,Parking lot,ChIJy0MrBUmEP4YROwbzdrqcYWo,Galveston,"{'lat': 29.1952893, 'lng': -94.95270389999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
138,Beach Access Point #24,ChIJLzHBYQyHP4YR4kk3ZBt9lvQ,"21055 West Sand Hill Drive, Galveston","{'lat': 29.1465546, 'lng': -95.0315102}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
139,Water Tower - Isla Del Sol,ChIJwRSZKXKJP4YR_uFYo5oEPjo,"22426 Termini-San Luis Pass Road, Galveston","{'lat': 29.1334302, 'lng': -95.05307359999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
140,Parking,ChIJIbI_Ibt3QIYR7Mv7JVzrm8E,"23201 Termini-San Luis Pass Road, Galveston","{'lat': 29.1258428, 'lng': -95.06329919999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
