,Name,Address,Coordinates
71,Cafe Boba,"810 Piilani St Hilo, HI 96720","{'latitude': 19.71622, 'longitude': -155.06681}"
72,Millie's Deli & Snack Shop,"94 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7231927, 'longitude': -155.0626218}"
73,Poke N Sides @ the Hilo Farmers Market,"57 Mamo St Hilo, HI 96720","{'latitude': 19.72264, 'longitude': -155.08487}"
74,The Sippin Siren,"88 Kanoelehua Ave Ste A102 Hilo, HI 96720","{'latitude': 19.721526, 'longitude': -155.06474}"
75,Ding Tea Hilo,"239 Keawe St Hilo, HI 96720","{'latitude': 19.724, 'longitude': -155.086496}"
76,Loved by the Sun,"12 Furneaux Ln Hilo, HI 96720","{'latitude': 19.7240496317265, 'longitude': -155.085634599574}"
77,Nicoco,"185 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7221681, 'longitude': -155.0853187}"
78,Tamari Japanese Lunch Shop,"22 Furneaux Ln Hilo, HI 96720","{'latitude': 19.7238580137491, 'longitude': -155.085955560207}"
79,Cronies Bar & Grill,"11 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7266042, 'longitude': -155.0868397}"
80,Sugar Coast Candy,"274 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.724219, 'longitude': -155.0856654}"
81,Hiro's Place,"50 E Puainako St Ste 108 KTA Super Stores - Puainako Hilo, HI 96720","{'latitude': 19.692655, 'longitude': -155.066482}"
82,Hilo Siam Thai Restaurant,"70 Mamo St Hilo, HI 96720","{'latitude': 19.7230911, 'longitude': -155.0855408}"
83,Puna Chocolate Company,"277 Keawe St Hilo, HI 96720","{'latitude': 19.7235873, 'longitude': -155.0862993}"
84,White Guava Cafe,"54 E Puainako St Hilo, HI 96720","{'latitude': 19.69445111667885, 'longitude': -155.0663731117025}"
85,Coconut Grill,"136 Banyan Way Hilo Seaside Hotel Hilo, HI 96720","{'latitude': 19.723620934733695, 'longitude': -155.06265429250664}"
86,Cham Cham Korean BBQ,"421 Kalanikoa St Ste 102 Hilo, HI 96720","{'latitude': 19.71672, 'longitude': -155.06544}"
87,Carlsmith Beach Park,"1827 Kalanianaole Ave Hilo, HI 96720","{'latitude': 19.7330791088927, 'longitude': -155.027970678621}"
88,Hawaii Tropical Bioreserve & Garden,"27-717 Old Mamalahoa Hwy Papaikou, HI 96781","{'latitude': 19.8111211496674, 'longitude': -155.096228949054}"
89,Teapresso Bar - Hilo,"14 W Lanikaula St Ste 105 Hilo, HI 96720","{'latitude': 19.707259, 'longitude': -155.075617}"
90,Bangkok Villa Hilo,"59 Kalakaua St Hilo, HI 96720","{'latitude': 19.7253971, 'longitude': -155.0871003}"
91,Vegan Shop,"516 Kinoole St Hilo, HI 96720","{'latitude': 19.71973, 'longitude': -155.08585}"
92,H & K Lunch Shop,"14 W Lanikaula St Ste 102 Hilo, HI 96720","{'latitude': 19.7070579528809, 'longitude': -155.075546264648}"
93,Van Vietnamese Cuisine,"419 Kilauea Ave Hilo, HI 96720","{'latitude': 19.720312244236048, 'longitude': -155.0824403}"
94,K's Drive-In,"194 Hualalai St Hilo, HI 96720","{'latitude': 19.7168253816891, 'longitude': -155.083082346933}"
95,IHOP,"111 E Puainako St Prince Kuhio Plaza Prince Kuhio Plaza Hilo, HI 96720","{'latitude': 19.695294, 'longitude': -155.063849}"
96,Reuben's Mexican Food,"336 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.723556, 'longitude': -155.084948}"
