area,raw_stop_counts,raw_device_counts,distance_from_home,distance_from_primary_daytime_location,median_dwell,year
150010212023,5304.75,852.5833333333334,61182.5,73366.5,81.35208333333334,2019.0
150010212024,4921.75,1371.75,2795962.4166666665,3106807.75,41.42847222222222,2019.0
150010213001,9828.5,2190.75,3319117.0,3630801.1666666665,63.97222222222222,2019.0
150010213002,5588.083333333333,1127.25,35143.583333333336,45059.25,106.22013888888888,2019.0
150010213003,3539.4166666666665,879.1666666666666,1421404.8333333333,1781398.0833333333,95.80138888888888,2019.0
150010214021,7229.25,1486.0,352126.6666666667,352254.5,44.92361111111111,2019.0
150010214022,7090.416666666667,1174.5833333333333,18170.333333333332,18205.75,54.205555555555556,2019.0
150010214023,6633.333333333333,1279.25,29265.416666666668,27934.25,49.68055555555555,2019.0
150010215021,11574.75,2115.0833333333335,14499.5,14383.166666666666,76.73402777777777,2019.0
150010215022,7294.666666666667,1449.4166666666667,11670.166666666666,12518.666666666666,91.07013888888889,2019.0
150010215041,9500.666666666666,923.0833333333334,4267.25,4247.916666666667,155.21944444444443,2019.0
150010215042,70442.83333333333,8298.0,417252.1666666667,428175.3333333333,23.86111111111111,2019.0
150010215071,46156.166666666664,8508.166666666666,3322512.25,3331263.4166666665,34.045138888888886,2019.0
150010215072,3630.75,540.75,8048.666666666667,8751.5,167.48541666666665,2019.0
150010215073,15475.333333333334,2383.8333333333335,40142.916666666664,38539.166666666664,93.57152777777777,2019.0
150010215091,15256.25,3011.25,1074015.5833333333,1094050.5833333333,69.81736111111111,2019.0
150010215092,20631.333333333332,3749.0833333333335,1426527.3333333333,1723148.3333333333,54.17638888888889,2019.0
150010215093,3733.25,583.5,10286.083333333334,11419.75,141.06736111111113,2019.0
150010216011,27006.25,9871.083333333334,2811.25,6838.166666666667,120.64999999999999,2019.0
150010216012,10953.333333333334,1491.75,9751.833333333334,9283.333333333334,69.89236111111111,2019.0
150010216013,6032.583333333333,711.0,7992.583333333333,7982.833333333333,138.50416666666666,2019.0
150010216014,19340.333333333332,4649.166666666667,3943207.5,3952754.4166666665,45.80625,2019.0
150010216015,49596.416666666664,8119.333333333333,788986.25,1073851.4166666667,25.650000000000002,2019.0
150010216041,6465.083333333333,1286.5833333333333,2646090.5833333335,2658003.75,104.70208333333333,2019.0
150010216042,9021.916666666666,1434.3333333333333,698338.3333333334,701959.0,134.0388888888889,2019.0
150010216043,2370.8333333333335,443.5833333333333,11151.25,10929.166666666666,155.72430555555556,2019.0
150010216044,9261.0,1266.75,9492.833333333334,9653.166666666666,125.34236111111112,2019.0
150010216045,3585.25,507.4166666666667,7378.5,7324.166666666667,145.10208333333333,2019.0
150010217021,24131.916666666668,4453.25,56147.75,61950.583333333336,44.58263888888889,2019.0
150010217022,7681.916666666667,836.1666666666666,17732.5,19612.75,121.44305555555557,2019.0
150010217023,23314.666666666668,2793.8333333333335,51889.0,52880.583333333336,42.570138888888884,2019.0
150010217041,88616.58333333333,8282.333333333334,3316950.3333333335,3325496.3333333335,46.69444444444445,2019.0
150010217042,9770.0,1497.5833333333333,31092.916666666668,33006.75,125.76944444444445,2019.0
150010217043,13864.416666666666,1996.0833333333333,82100.41666666667,92398.75,68.98125,2019.0
150010217044,5349.25,541.25,6342.333333333333,13188.0,195.3715277777778,2019.0
150010218001,4990.833333333333,965.6666666666666,1668231.9166666667,1715431.5833333333,60.486805555555556,2019.0
150010218002,7116.25,983.0833333333334,61173.666666666664,72410.0,95.61736111111111,2019.0
150010218003,4468.083333333333,677.8333333333334,389528.1666666667,394633.1666666667,67.36805555555556,2019.0
150010218004,3197.9166666666665,712.75,450061.6666666667,774798.5833333334,72.72430555555556,2019.0
150010219021,5729.833333333333,1157.5833333333333,50527.166666666664,71261.75,101.11666666666667,2019.0
150010219022,6251.75,1100.0833333333333,61297.25,65654.66666666667,43.54236111111111,2019.0
150010219023,7169.333333333333,620.25,16996.25,21732.333333333332,88.44444444444444,2019.0
150010220001,8125.166666666667,1362.3333333333333,55859.0,55622.583333333336,49.15486111111111,2019.0
150010220002,3840.5,362.0833333333333,19387.0,25751.416666666668,173.19722222222222,2019.0
150010221021,5113.5,1244.3333333333333,494705.25,804469.9166666666,53.90069444444445,2019.0
150010221022,2460.5833333333335,508.25,45186.0,47892.916666666664,65.72152777777778,2019.0
150019900000,18.5,8.833333333333334,723847.1666666666,436312.6666666667,9.074305555555556,2019.0
150019901000,21.0,5.583333333333333,73853.16666666667,66974.83333333333,22.436805555555555,2019.0
150019903000,7.818181818181818,3.909090909090909,2231.5,3721.0,50.36515151515152,2019.0
150019904000,5.5,2.3333333333333335,,,96.77361111111111,2019.0
150019905000,15.181818181818182,5.090909090909091,14167.833333333334,10811.4,20.161363636363635,2019.0
150019906000,12.25,7.583333333333333,14422.0,16164.42857142857,18.492361111111112,2019.0
150019907000,21.666666666666668,16.75,3022354.0,3213671.75,15.652777777777777,2019.0
150019908000,35.583333333333336,21.083333333333332,2183001.9166666665,2221413.8333333335,27.391666666666666,2019.0
150019909000,5.4,3.6,19052.0,19052.0,221.16749999999996,2019.0
150019910000,1.5,2.5,,,16.43125,2019.0
150019911000,2.6,3.8,,,11.728333333333333,2019.0
150019912000,13.333333333333334,8.25,1425597.2,1300946.6363636365,8.727083333333333,2019.0
150019913000,24.333333333333332,15.0,2379512.25,2745162.6363636362,8.373611111111112,2019.0
150019914000,51.5,34.083333333333336,3300959.0,3344690.9166666665,7.747222222222223,2019.0
150019915000,30.75,18.083333333333332,3213579.3333333335,3246712.5833333335,8.67986111111111,2019.0
150019916000,24.083333333333332,14.5,2265337.8181818184,2397583.909090909,9.321527777777778,2019.0
150019917000,19.25,11.333333333333334,1851519.0,2171888.0,8.920833333333333,2019.0
