,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
165,"Falstaff Cruise Parking, Drive In & Cruise Out","3402 Church Street, Galveston","{'lat': 29.3004531, 'lng': -94.80594579999999}","Falstaff Cruise Parking, Drive In & Cruise Out3402 Church Street, Galveston",Parking lotGalveston,86
171,Port of Galveston West Entrance,"4002 Port Industrial Road, Galveston","{'lat': 29.30404, 'lng': -94.8139803}","Port of Galveston West Entrance4002 Port Industrial Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
175,Freymiller Galveston Dropyard,"5700 Harborside Drive, Galveston","{'lat': 29.2980668, 'lng': -94.83406320000002}","Freymiller Galveston Dropyard5700 Harborside Drive, Galveston","UTMB 17E113-191 11th Street, Galveston",86
176,6303 Broadway St. Parking,"6303 Broadway Street, Galveston","{'lat': 29.28783, 'lng': -94.8405191}","6303 Broadway St. Parking6303 Broadway Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
177,Marlin Cruise Parking,"8115 Harborside Drive, Galveston","{'lat': 29.2875693, 'lng': -94.86271909999999}","Marlin Cruise Parking8115 Harborside Drive, Galveston","Cruise Park2815 Harborside Drive, Galveston",88
178,8701 Teichman Rd Parking,"8701 Teichman Road, Galveston","{'lat': 29.282649, 'lng': -94.8661714}","8701 Teichman Rd Parking8701 Teichman Road, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
179,Sand Dollar Autoplex,"8020 Broadway Street, Galveston","{'lat': 29.2866847, 'lng': -94.8608958}","Sand Dollar Autoplex8020 Broadway Street, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
180,5400 Seawall Boulevard Parking,"5400 Seawall Boulevard, Galveston","{'lat': 29.27130469999999, 'lng': -94.8186599}","5400 Seawall Boulevard Parking5400 Seawall Boulevard, Galveston","3502 Seawall Blvd Parking3502 Seawall Boulevard, Galveston",89
181,Burnet Elementary Parking Lot,"5511 Avenue S, Galveston","{'lat': 29.27637, 'lng': -94.824815}","Burnet Elementary Parking Lot5511 Avenue S, Galveston",Parking lotGalveston,86
182,2190 Terminal Dr Parking,"2190 Terminal Drive, Galveston","{'lat': 29.2669691, 'lng': -94.8539629}","2190 Terminal Dr Parking2190 Terminal Drive, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
183,Parking,"2215-2299 83rd St, Galveston","{'lat': 29.26690110000001, 'lng': -94.85394959999999}","Parking2215-2299 83rd St, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
189,Galveston Island Brewing Parking Lot,"3515 85th Street, Galveston","{'lat': 29.2557574, 'lng': -94.85009640000001}","Galveston Island Brewing Parking Lot3515 85th Street, Galveston",Parking lotGalveston,86
197,Beach Access Point ,nan,nan,nan,GalvestonGalveston,60
199,Parking,"23201 Termini-San Luis Pass Road, Galveston","{'lat': 29.1258428, 'lng': -95.06329919999999}","Parking23201 Termini-San Luis Pass Road, Galveston","ATM22220 Termini-San Luis Pass Road, Galveston",88
0,Mamady's Primitive Art From,"2211 The Strand, Galveston","{'lat': 29.307213, 'lng': -94.7937577}","Mamady's Primitive Art From2211 The Strand, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
