,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
441,Kalbi Express,"315 E Makaala St Ste 106 Hilo, HI 96720",POINT (-155.062816 19.701575),19.701575,-155.062816,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
442,Tea Time Hawaii,"315 E Kawili St Unit 103 Hilo, HI 96720",POINT (-155.0682516 19.70617),19.70617,-155.0682516,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
443,Mr Ed's Bakery,"28-1672 Old Mamalahoa Hwy Honomu, HI 96728",POINT (-155.1130501 19.8693367),19.8693367,-155.1130501,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
444,Joann's Lounge,"88 Kanoelehua Ave Hilo, HI 96720",POINT (-155.0647125 19.7216396),19.7216396,-155.0647125,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
445,Mokupapapa Discovery Center,"76 Kamehameha Ave Hilo, HI 96720",POINT (-155.0870115 19.7267074),19.7267074,-155.0870115,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
446,Tin Shack Bakery,"15-1500 Akeakamai Lp Pāhoa, HI 96778",POINT (-154.9437281 19.4942503),19.4942503,-154.9437281,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
447,Hawaiian Shrimp Company,"315 Makaala St Hilo, HI 96720",POINT (-155.062866772055 19.7016496478494),19.7016496478494,-155.062866772055,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
448,Perfect Harmony,"276 Keawe St Hilo, HI 96720",POINT (-155.0865014 19.7235453),19.7235453,-155.0865014,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
449,Panda Express,"368 E. Makaala Street Hilo, HI 96720",POINT (-155.060897827148 19.6987018585205),19.6987018585205,-155.060897827148,1,0.9999999999999994,0,1,0,1,0,0,,11.952380952380953
450,Ning's Thai Cuisine,"15-2955 Pahoa Village Rd Pahoa, HI 96778",POINT (-154.94505 19.494080996651),19.494080996651,-154.94505,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
451,Hilo Municipal Golf Course,"340 Haihai St Hilo, HI 96720",POINT (-155.074466 19.67669),19.67669,-155.074466,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
452,Waioli Lounge,"71 Banyan Dr Hilo, HI 96720",POINT (-155.066871643066 19.7280488328395),19.7280488328395,-155.066871643066,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
453,Floral Mart Hawaii,"738 Kinoole St Hilo, HI 96720",POINT (-155.0842695 19.7171591),19.7171591,-155.0842695,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
454,Napoleon's Bakery Hilo,"111 E Puainako St. Zippy's Hilo Hilo, HI 96720",POINT (-155.0634102 19.6971899),19.6971899,-155.0634102,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
455,Kula Shave Ice,"330 Kamehameha Ave Hilo, HI 96720",POINT (-155.08504 19.72358),19.72358,-155.08504,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
456,Ling's Chop Suey House,"2100 Kanoelehua Ave Hilo, HI 96720",POINT (-155.067106 19.691656),19.691656,-155.067106,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
457,Sunlight Cafe,"1263 Kilauea Ave Ste 280B Hilo, HI 96720",POINT (-155.07600402832 19.710168838501),19.710168838501,-155.07600402832,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
458,Pizza Ala Slice,"111 E Puainako St Hilo, HI 96720",POINT (-155.064099 19.696983),19.696983,-155.064099,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
459,The Hot Dog Guy,"380 Kanoelehua Ave Hilo, HI 96720",POINT (-155.06502 19.71732),19.71732,-155.06502,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
460,Cheng's Chop Suey House,"138 Hualalai St Hilo, HI 96720",POINT (-155.08275167 19.71724667),19.71724667,-155.08275167,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
461,Big Island Birria Boss,"380 Kanoelehua Rd Hilo, HI 96720",POINT (-155.06502 19.71732),19.71732,-155.06502,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
462,Surf Break Cafe,"28-1692 Old Mamalahoa Hwy Honomu, HI 96728",POINT (-155.1140959381894 19.87037910916393),19.870379109163935,-155.11409593818942,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
