id,name,categories,longitude,latitude,display_address
ChIJN-Pa8KdMUnkRq4nyM_4sPBo,Russell Carroll Mo'oheau County Park,"park, tourist_attraction, point_of_interest, establishment",-155.08420909999998,19.7239473,"203 Kilauea Ave, Hilo, HI 96720, USA"
ChIJkx1kuFtLUnkRX1PDSgB-_fo,Kenichi Restaurant,"japanese_restaurant, barbecue_restaurant, restaurant, food, point_of_interest, establishment",-155.0800453,19.7172545,"684 Kilauea Ave, Hilo, HI 96720, USA"
ChIJo8Bef1lLUnkRhCi-oRjdc_U,Longs Drugs Pharmacy,"pharmacy, health, store, point_of_interest, establishment",-155.08086330000003,19.7191552,"555 Kilauea Ave, Hilo, HI 96720, USA"
ChIJq6rqeFlLUnkR6Ns03G5_nmA,CVS Pharmacy,"pharmacy, drugstore, health, store, point_of_interest, establishment",-155.0810994,19.7189458,"555 Kilauea Ave, Hilo, HI 96720, USA"
ChIJWTn2h1lLUnkRrCqtN_VR6vg,New China Restaurant,"chinese_restaurant, restaurant, food, point_of_interest, establishment",-155.0817164,19.7188478,"510 Kilauea Ave, Hilo, HI 96720, USA"
ChIJZYZHpl5LUnkRT1Y36nfP1Ig,Law Library,"library, point_of_interest, establishment",-155.0789984,19.717597599999998,"777 Kilauea Ave, Hilo, HI 96720, USA"
ChIJMSISAVxLUnkR2PFEg4mn41E,Hilo Lagoon,"bus_stop, transit_station, point_of_interest, establishment",-155.077722,19.718139,"Hilo, HI 96720, USA"
ChIJMa0Rj8NLUnkRYzneoyElHdU,Coastal Medical Supply,"drugstore, health, point_of_interest, store, establishment",-155.07717990000003,19.7176466,"99 Aupuni St STE 104, Hilo, HI 96720, USA"
ChIJe_fLwBJLUnkRjWUciq5A45Y,Kuhio Grille - Home Of The Famous 1lb Laulau,"american_restaurant, restaurant, food, point_of_interest, establishment",-155.07956289999998,19.720327599999997,"80 Pauahi St, Hilo, HI 96720, USA"
ChIJ3YqR8KhLUnkRzKofhztIat0,Hawaii County Vietnam Memorial,"park, point_of_interest, establishment",-155.0770653,19.7196856,"200 Piopio St, Hilo, HI 96720, USA"
ChIJcSnbWllLUnkRZJS4xYV3JEI,Aupuni Street @ Pauahi Street (Aupuni Center County Building),"bus_stop, transit_station, point_of_interest, establishment",-155.078861,19.719167,"Hilo, HI 96720, USA"
ChIJv-kV0lhLUnkR_ZGxZ5pP6Ao,Texaco,"gas_station, convenience_store, point_of_interest, food, store, car_repair, establishment",-155.0784104,19.7218168,"774 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJe2XcrFlLUnkRN4JCe6fkKrA,Russell Carroll Bayfront Soccer Fields,"park, point_of_interest, establishment",-155.0814696,19.7216162,"744 Kamehameha Ave, Hilo, HI 96720, USA"
ChIJJRuUQ1hLUnkRPeXo5KU8y8k,Bayfront Park and Ride (Kamehameha Ave @ Pauahi St),"bus_stop, transit_station, point_of_interest, establishment",-155.081944,19.722860999999998,"Hilo, HI 96720, USA"
ChIJ07x271hLUnkRTKPZTRlNXqg,Ivy School,"school, point_of_interest, establishment",-155.07999999999998,19.722222199999997,"Hilo, HI 96720, USA"
ChIJce55g19LUnkRzLpw2nTLBhk,Bayfront Park,"park, premise, point_of_interest, establishment",-155.07464109999998,19.723100199999998,"Hilo, HI 96720, USA"
ChIJswdxpatMUnkR3zooDBo86AU,Clem Akina Park,"park, tourist_attraction, point_of_interest, establishment",-155.0922405,19.7295406,"159 Wainaku St, Hilo, HI 96720, USA"
