Original_Index,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Cumulative_Distance,Truck_Load
0,Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,,0,0
57,Schlitterbahn Waterpark Galveston,-94.8517369,29.2703671,8,6,4957.0,amusement_park,4.3,,,5500,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med,indoor,Truck,,436,8
191,,-94.85524271265918,29.267539716885995,1,0,,,,,,,,,,,,,outdoor,Truck,1020.0,900,9
124,Galveston Primetime,-94.8542107,29.2530127,2,2,1321.0,movie_theater,4.2,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,indoor,Truck,,3454,11
122,Dolphin World Inc No 2,-94.85317,29.25173,1,1,5.0,restaurant,2.0,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,indoor,Truck,,3785,12
127,Jimmy's Curbside Restaurant and Grocery,-94.8531793,29.2506985,2,1,8.0,restaurant,4.5,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,indoor,Truck,,3918,14
126,SEA BEAN Coffee Cafe,-94.8532271,29.2506218,2,1,7.0,cafe,4.5,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,indoor,Truck,,3927,16
170,Seawall Coffee Company,-94.86782336,29.24463873,2,1,47.0,restaurant,4.5,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,indoor,Truck,,5668,18
159,Seahorse Grill,-94.86803806,29.24448719,1,1,237.0,restaurant,4.5,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,Truck,,5693,19
216,,-94.86778062999728,29.243452340388263,1,0,,,,,,,,,,,,,outdoor,Truck,2024.0,5832,20
246,,-94.8738468189325,29.2405914297026,1,0,,,,,,,,,,,,,outdoor,Truck,3025.0,6663,21
33,Cooper's Landing,-94.8780445,29.2407199,1,1,219.0,restaurant,4.3,700,280,700,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low,indoor,Truck,,7594,22
251,,-94.87811761972976,29.23872499917516,1,0,,,,,,,,,,,,,outdoor,Truck,3030.0,7827,23
252,,-94.89604294830498,29.2277225320811,1,0,,,,,,,,,,,,,outdoor,Truck,3031.0,10382,24
253,,-94.9278228922708,29.210431153328607,1,0,,,,,,,,,,,,,outdoor,Truck,3032.0,14348,25
