0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
187.2,437.2,433.7,542.7,527.4,508.6,924.6,4782.4,4625.7,216.6,0.0,189.7,91.0,151.4,309.6,458.1,344.0,395.9,445.2,523.7,508.0,564.5,540.1,1879.3,2986.5,4242.1,4732.4,555.0,1593.6,416.3,10113.7,7515.6,189.3,599.1,7339.6,431.4,524.4,3159.7,665.3,446.8,973.0,1312.9,1728.6,1083.3,508.1,281.3,160.2,18.2,389.9,1749.3,307.5,4680.8
377.2,631.5,623.7,743.7,728.4,674.9,1114.5,4691.0,4534.3,275.6,190.0,0.0,281.0,341.4,301.6,651.5,402.9,589.3,635.2,718.9,697.9,754.4,730.0,2063.2,3170.4,3988.8,5032.1,738.9,1778.9,610.6,10172.6,7574.6,379.3,1223.4,7398.6,621.4,714.3,3543.6,855.3,535.8,964.3,1503.5,1912.5,1267.2,675.6,440.6,354.5,208.2,579.8,1933.9,497.5,4547.6
136.1,459.2,620.0,572.2,557.0,530.6,1111.9,4725.2,4568.4,172.8,123.8,313.5,0.0,173.4,331.6,480.1,434.6,417.9,467.2,545.7,530.0,586.5,562.1,1822.0,2929.3,4184.8,4675.1,497.8,1537.6,438.3,10202.7,7604.6,211.3,982.3,7428.6,453.4,546.4,3102.4,687.4,468.8,995.0,1968.7,1671.4,1026.1,530.1,303.3,182.2,105.5,411.9,1692.6,362.2,4623.6
357.0,277.4,270.7,391.6,376.4,452.9,761.6,4376.8,4220.1,459.8,238.9,428.6,260.9,0.0,253.9,402.4,355.2,340.2,389.5,468.0,452.2,508.7,484.3,1073.2,2580.6,3838.8,4717.4,493.9,1562.9,256.5,10124.9,7526.9,133.6,635.1,7350.8,375.7,468.6,2838.8,609.6,391.0,916.6,1153.1,1323.4,709.9,452.3,225.5,78.4,220.7,334.1,1718.7,276.9,4277.6
429.9,452.1,445.5,565.3,550.0,495.6,936.4,4511.6,4354.9,328.2,242.6,301.3,331.6,253.9,0.0,472.2,223.6,410.0,460.1,539.6,522.9,579.4,555.0,1247.9,2755.4,3809.4,4852.7,668.6,1831.5,431.3,9993.3,7395.2,204.3,809.9,7219.2,446.4,539.3,3364.2,680.3,356.5,784.9,1327.8,1498.2,884.6,496.2,296.2,175.2,291.3,404.8,1986.5,540.2,4368.3
576.3,498.7,388.9,147.6,132.3,310.8,518.5,4132.8,3975.0,678.2,458.2,647.9,480.2,402.4,472.3,0.0,342.2,62.3,147.2,267.0,210.0,266.5,242.1,831.0,2336.7,3596.8,4475.4,713.8,1872.8,477.9,9883.3,7285.2,268.6,425.2,7109.2,133.4,226.4,2834.3,367.4,148.8,675.0,911.0,721.5,927.3,310.3,213.3,323.8,439.9,91.9,2067.9,586.8,4035.6
531.2,553.5,446.5,436.9,421.7,365.5,809.0,4381.6,4224.9,429.6,344.0,402.7,434.6,355.2,223.6,342.1,0.0,279.9,331.6,409.5,394.4,450.9,426.5,1119.5,2619.9,3679.4,4722.7,772.1,1932.9,532.6,9863.2,7265.2,223.0,483.5,7089.1,317.8,410.8,3234.2,551.8,226.4,654.9,1194.1,1008.2,987.3,366.2,131.2,276.5,362.2,276.3,2087.9,644.3,4238.2
514.0,538.5,395.6,154.3,139.0,148.3,525.2,4139.5,3981.7,616.0,395.9,585.6,417.9,340.2,410.0,62.2,279.9,0.0,84.9,273.7,147.7,204.2,179.8,837.7,2343.4,3603.5,4482.1,720.5,1879.5,517.6,9821.0,7223.0,206.3,431.9,7047.0,71.2,164.1,2841.0,305.1,86.5,612.7,917.7,728.3,934.0,147.8,151.0,261.5,377.7,29.6,2074.6,593.5,4042.3
563.3,587.7,480.6,239.2,224.0,63.4,477.5,4089.6,3932.9,600.0,445.2,634.9,467.2,389.5,460.1,147.1,331.6,84.9,0.0,78.5,62.8,119.3,94.9,922.7,2293.7,3688.5,4593.0,805.4,1964.7,566.9,9733.5,7135.5,255.6,516.8,6959.4,13.8,79.2,2723.2,220.2,135.8,662.0,1002.6,813.2,1018.9,62.9,200.3,310.8,426.9,55.3,2119.8,678.4,4127.2
641.8,609.5,499.7,119.4,134.7,43.8,399.0,4009.4,3851.3,678.5,523.7,713.4,545.7,468.0,538.6,111.1,409.5,163.4,78.5,0.0,43.1,99.6,75.2,707.4,2213.5,3473.2,4351.8,824.3,1983.6,588.6,9717.5,7119.4,334.1,535.7,6943.4,92.3,59.5,2642.9,200.5,214.3,740.5,787.3,654.5,1040.8,43.2,278.8,389.3,505.5,133.8,2182.6,697.6,3912.0
626.1,650.5,542.8,162.6,177.8,28.1,442.1,4026.9,3870.1,662.8,508.0,697.7,530.0,452.2,522.9,209.9,394.4,147.7,62.8,43.1,0.0,56.5,32.1,750.5,2231.0,3516.3,4530.2,868.2,2027.5,629.7,9670.7,7072.7,318.4,579.6,6896.7,76.6,16.4,2660.4,157.4,198.6,724.7,830.5,697.6,1083.9,27.5,263.0,373.6,489.7,118.1,2225.7,740.7,3955.1
