,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
131,Jillian Tyler,ChIJ__9P_YQ1UnkRil1ojFT9MHo,"16-192 Pili Mua Street, Keaau","{'lat': 19.6206866, 'lng': -155.0394603}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Jillian Tyler,,
132,Erin White,ChIJ__9P_YQ1UnkRqeSBniSESQs,"16-192 Pili Mua Street, Keaau","{'lat': 19.6206866, 'lng': -155.0394603}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,university,Erin White,,
133,Vitamin World -- In-Store Shopping or Curbside Pickup,ChIJe_fLwBJLUnkR9BgdwYivhc0,"Prince Kuhio Plaza, 111 Puainako Street #745, Hilo","{'lat': 19.6970679, 'lng': -155.0633394}",OPERATIONAL,"['store', 'point_of_interest', 'health', 'establishment']",,,,2.0,5.0,1.0,,,,,,,,store,Vitamin World -- In-Store Shopping or Curbside Pickup,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
134,Zales,ChIJe_fLwBJLUnkRzIrna2BDPl8,"111 Puainako Street #460, Hilo","{'lat': 19.6972689, 'lng': -155.0636786}",OPERATIONAL,"['jewelry_store', 'store', 'point_of_interest', 'establishment']",,,,2.0,4.5,24.0,,,,,,,,jewelry_store,Zales,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
135,Imiloa Astronomy Center,ChIJsdQxZzZLUnkRvKrbC-puu20,"600 Imiloa Place, Hilo","{'lat': 19.7011173, 'lng': -155.0886773}",OPERATIONAL,"['museum', 'point_of_interest', 'establishment']",,,,,4.5,105.0,,,,,,,,museum,Imiloa Astronomy Center,"[{'close': {'day': 0, 'time': '1630'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 4, 'time': '1630'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1630'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1630'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:30\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20094:30\u202fPM']"
136,Pizza Ala Slice,ChIJe_fLwBJLUnkRlyUqcbBH1Yo,"111 Puainako Street #575, Hilo","{'lat': 19.6969789, 'lng': -155.0640987}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,,3.8,32.0,,,,,,,,restaurant,Pizza Ala Slice,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20096:00\u202fPM']"
137,Claire's,ChIJlcq8-xJLUnkRiKNubRJfUXg,"111 Puainako Street, Hilo","{'lat': 19.697266, 'lng': -155.0627173}",OPERATIONAL,"['jewelry_store', 'store', 'point_of_interest', 'establishment']",,,,2.0,3.8,13.0,,,,,,,,jewelry_store,Claire's,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
138,Hilotown Hale,ChIJAfrfl1VLUnkR1FiExbtLccg,"387 Wailuku Drive, Hilo","{'lat': 19.7246044, 'lng': -155.09198}",OPERATIONAL,"['lodging', 'point_of_interest', 'establishment']",,,,,4.8,8.0,,,,,,,,lodging,Hilotown Hale,,
139,Hot Dog on a Stick,ChIJe_fLwBJLUnkRlQPoiWXEsmE,"111 East Puainako Street Space #428, Hilo","{'lat': 19.6976777, 'lng': -155.0632962}",OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",,,,1.0,3.7,42.0,,,,,,,,restaurant,Hot Dog on a Stick,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']"
140,Kumon Math and Reading Center of WAIAKEA,ChIJjdlgSVFLUnkRNghORfnCrec,"172 Kapiolani Street Room 6, Hilo","{'lat': 19.7196068, 'lng': -155.0886798}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,Kumon Math and Reading Center of WAIAKEA,"[{'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '1430'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '1430'}}]","['Monday: 2:30\u2009–\u20096:30\u202fPM', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 2:30\u2009–\u20096:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']"
