,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,business_hours,business_hours_text
360,William C. Levin Hall,ChIJHZlLADieP4YRtmICzy5W4P8,"102 Market Street, Galveston","{'lat': 29.3096073, 'lng': -94.7796116}",OPERATIONAL,"['school', 'university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
361,"UTMB Truman Graves Blocker, Jr. Medical Research Building (MRB)",ChIJh-OVFUKfP4YRqqj6mRzS0lw,"224 11th Street, Galveston","{'lat': 29.3104099, 'lng': -94.78023019999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
362,Libby Moody Thompson Basic Science Building,ChIJF8j47HqfP4YRxo5TDiPapkQ,"1000 Mechanic Street, Galveston","{'lat': 29.3103979, 'lng': -94.7796106}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
363,Lee Hage Jamail Student Center,ChIJoUTXVnWfP4YRc9vVYurzQj0,Galveston,"{'lat': 29.311418, 'lng': -94.7795687}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
364,Research Building 6,ChIJU_ShU8KfP4YRcakIAVBMPX4,"301 8th Street, Galveston","{'lat': 29.3101461, 'lng': -94.777676}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
365,Gursaran Morrical,ChIJX2oLhDeeP4YRWUtd8kiqh-Q,"901 Harborside Drive, Galveston","{'lat': 29.31197450000001, 'lng': -94.77911569999999}",OPERATIONAL,"['university', 'doctor', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
366,The R. Waverley Smith Memorial Pavilion,ChIJy7X2TjaeP4YRBPTrww7ryEU,"221 University Boulevard, Galveston","{'lat': 29.31152100000001, 'lng': -94.77649629999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,,
367,Lewis Tsai,ChIJAQAArzaeP4YRCgJiPYyMluk,"400 Harborside Drive, Galveston","{'lat': 29.3148616, 'lng': -94.77482189999999}",OPERATIONAL,"['university', 'health', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,,
368,Vicki Chu,ChIJtfiLGMh-P4YR85kykzE3BLo,"6801 Emmett F Lowry Expressway, Texas City","{'lat': 29.3940715, 'lng': -94.9858118}",OPERATIONAL,"['university', 'doctor', 'health', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
369,COM Library,ChIJL0RaF5V-P4YRC46qWMUfnTE,"Library, 1200 North Amburn Road, Texas City","{'lat': 29.3957069, 'lng': -94.99955829999999}",OPERATIONAL,"['library', 'university', 'point_of_interest', 'establishment']",,,,,4.3,6.0,,,,,,,,,
370,Industrial Careers Building,ChIJzbK1EwN_P4YRPlo3NyIyUgU,Texas City,"{'lat': 29.3948741, 'lng': -94.99815889999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,1.0,,,,,,,,,
371,STEAM Building,ChIJC9J9DmF_P4YROQrSey74crk,Texas City,"{'lat': 29.3962985, 'lng': -94.9982993}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,5.0,2.0,,,,,,,,,
372,Administration Building,ChIJISAp4x9_P4YRrsY3M6rEyKs,Texas City,"{'lat': 29.3956144, 'lng': -95.00054109999999}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
373,University-Tx Med Br At Glvstn,ChIJFX4WMYh-P4YRrDm3RFXQ4FQ,"9300 Emmett F Lowry Expressway, Texas City","{'lat': 29.4041079, 'lng': -95.0167833}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.0,1.0,,,,,,,,,
374,University-Houston Caretaker,ChIJq2FUWDh-P4YRUXZ8B6jVWxc,"5721 Farm to Market 2004, Hitchcock","{'lat': 29.383673, 'lng': -95.040858}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
375,University of Houston - Coastal Center,ChIJYfz4v9F_P4YRlpm-SFJI0J0,"5312 Farm to Market 2004, La Marque","{'lat': 29.3908834, 'lng': -95.0311495}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
376,"College of the Mainland - Salon, Spa and Barber School",ChIJs4kyqnp-P4YReQ7vT6QWsnY,"10000 Emmett F Lowry Expressway, Texas City","{'lat': 29.4055998, 'lng': -95.0271939}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
377,"College of the Mainland, Lifelong Learning - Suite 4100",ChIJy4p75LR_P4YR8x_wnds2RIw,Texas City,"{'lat': 29.4060108, 'lng': -95.0273323}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
378,Oppe Elementary School,ChIJ61WATV6cP4YR4rwPNR6eMyI,"2915 81st Street, Galveston","{'lat': 29.263423, 'lng': -94.85022839999999}",OPERATIONAL,"['primary_school', 'school', 'point_of_interest', 'establishment']",,,,,4.1,11.0,,,,,,,,"[{'close': {'day': 1, 'time': '1515'}, 'open': {'day': 1, 'time': '0745'}}, {'close': {'day': 2, 'time': '1515'}, 'open': {'day': 2, 'time': '0745'}}, {'close': {'day': 3, 'time': '1515'}, 'open': {'day': 3, 'time': '0745'}}, {'close': {'day': 4, 'time': '1515'}, 'open': {'day': 4, 'time': '0745'}}, {'close': {'day': 5, 'time': '1515'}, 'open': {'day': 5, 'time': '0745'}}]","['Monday: 7:45\u202fAM\u2009–\u20093:15\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20093:15\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20093:15\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20093:15\u202fPM', 'Friday: 7:45\u202fAM\u2009–\u20093:15\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
