,Name,place_id,Address,Coordinates,business_status,types,category
103,Hawaii Volcanoes Helicopter Tours,ChIJYa-ZQYFLUnkR9SJLsj5OK4s,"1347 Kekuanaoa Street, Hilo","{'lat': 19.7144507, 'lng': -155.0437147}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
104,Gray Line Hawaii,ChIJc_LI74ZMUnkR6rq01rYhMBs,"888 Kalanianaole Street, Hilo","{'lat': 19.7279284, 'lng': -155.052179}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
105,Keikana Tour Depot,ChIJ26kSXoZMUnkRc8ioM5FGUAc,"60 Kuhio Street #1, Hilo","{'lat': 19.728813, 'lng': -155.052672}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
106,"Hawaii Classic Cruizers, Inc.",ChIJ0TiXNHxKUnkRejuDq3a3rf4,"16-579 Kipimana Street, Keaau","{'lat': 19.637117, 'lng': -155.045235}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
107,Deep Hawaii,ChIJuZl7hYQ1UnkReb1VcLwnnuo,Keaau,"{'lat': 19.621105, 'lng': -155.041591}",OPERATIONAL,"['travel_agency', 'real_estate_agency', 'point_of_interest', 'establishment']",travel_agency
108,Blue Hawaiian Rentals,ChIJuZl7hYQ1UnkRB-Egs3R7n8Y,"HC2 Box 6623, Keaau","{'lat': 19.6211611, 'lng': -155.0417365}",OPERATIONAL,"['travel_agency', 'lodging', 'real_estate_agency', 'point_of_interest', 'establishment']",travel_agency
109,Hang In Loose Vacation Retreat,ChIJuZl7hYQ1UnkRbgncOVlOPXg,Keaau,"{'lat': 19.6211111, 'lng': -155.0416667}",OPERATIONAL,"['travel_agency', 'real_estate_agency', 'point_of_interest', 'establishment']",travel_agency
110,Paradise Helicopters Tours of Hawaii,ChIJkSbYB4FLUnkRcZqjBJAmVeU,Hilo,"{'lat': 19.7145204, 'lng': -155.0405843}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
111,C Big Island Tours,ChIJ6VLlrZ5MUnkRx4TNnJRMR_o,"71 Banyan Drive, Hilo","{'lat': 19.72817, 'lng': -155.0667}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
112,Safari Helicopters,ChIJRY8FxoZLUnkRGr-WoXP5rSo,"Commuter Air Terminal, 2220 Kekuanaoa Street, Hilo","{'lat': 19.715026, 'lng': -155.043562}",OPERATIONAL,"['travel_agency', 'point_of_interest', 'establishment']",travel_agency
